description,category,amount,date
Swiggy Order,Food,3982.18,2026-05-09
PVR Cinemas,Entertainment,3224.7,2026-05-20
Uber Ride,Transport,1481.35,2026-06-03
Zomato Delivery,Food,2911.26,2026-07-10
Doctor Consultation,Healthcare,1130.45,2026-04-08
Doctor Consultation,Healthcare,2111.52,2026-03-07
Movie Ticket BookMyShow,Entertainment,3223.51,2026-04-22
H&M Purchase,Shopping,371.29,2026-07-26
Dominos Pizza,Food,2664.89,2026-03-02
Gift Purchase,Others,4426.46,2026-05-08
Amazon Prime Video,Entertainment,510.93,2026-06-24
Myntra Order,Shopping,3355.56,2026-06-12
Uber Ride,Transport,3211.59,2026-02-08
Gas Bill Payment,Bills,2890.56,2026-03-21
Spotify Premium,Entertainment,3829.29,2026-05-23
Monthly Rent Payment,Rent,1526.99,2026-06-13
Starbucks Coffee,Food,4415.16,2026-05-24
House Rent,Rent,1677.34,2026-02-15
Netflix Subscription,Entertainment,2505.63,2026-03-19
Petrol Pump,Transport,3631.46,2026-03-24
H&M Purchase,Shopping,3422.16,2026-02-15
ATM Withdrawal,Others,3991.52,2026-02-19
Bank Transfer,Others,3272.44,2026-07-08
McDonalds,Food,2922.86,2026-04-08
Grocery Store BigBasket,Food,2761.31,2026-02-09
Amazon Prime Video,Entertainment,2694.19,2026-06-26
Ola Cab,Transport,938.83,2026-03-31
Electricity Bill,Bills,1414.9,2026-07-25
Pharmacy Medicine,Healthcare,2739.16,2026-02-21
Gift Purchase,Others,4940.95,2026-03-16
Doctor Consultation,Healthcare,3395.49,2026-06-24
Cafe Coffee Day,Food,1141.02,2026-06-05
Dominos Pizza,Food,3384.77,2026-06-25
Cafe Coffee Day,Food,4080.8,2026-04-01
House Rent,Rent,1881.07,2026-03-29
Local Restaurant,Food,391.7,2026-04-07
Zomato Delivery,Food,967.57,2026-03-31
Doctor Consultation,Healthcare,1381.26,2026-08-02
Petrol Pump,Transport,637.98,2026-03-18
Flipkart Shopping,Shopping,997.82,2026-06-07
Dominos Pizza,Food,897.55,2026-02-14
Water Bill Payment,Bills,2349.34,2026-04-10
Zara Store,Shopping,2684.94,2026-02-09
Nykaa Order,Shopping,4037.92,2026-06-05
Myntra Order,Shopping,4350.84,2026-05-19
House Rent,Rent,1269.97,2026-04-21
Internet Bill Jio,Bills,2017.59,2026-07-10
Metro Card Recharge,Transport,1222.16,2026-06-05
Zara Store,Shopping,4874.52,2026-06-20
Miscellaneous Payment,Others,1966.43,2026-06-09
Bank Transfer,Others,4829.95,2026-02-15
Grocery Store BigBasket,Food,3798.33,2026-02-09
Electricity Bill,Bills,1012.33,2026-03-10
Rapido Bike,Transport,1228.57,2026-04-04
Amazon Prime Video,Entertainment,1957.94,2026-07-30
Miscellaneous Payment,Others,1926.14,2026-07-22
McDonalds,Food,1445.84,2026-04-23
H&M Purchase,Shopping,4573.96,2026-06-07
Miscellaneous Payment,Others,3398.33,2026-04-09
Metro Card Recharge,Transport,239.31,2026-06-07
Rapido Bike,Transport,3569.96,2026-06-25
House Rent,Rent,4228.05,2026-06-20
Spotify Premium,Entertainment,4834.24,2026-06-29
Zara Store,Shopping,4322.93,2026-07-08
Doctor Consultation,Healthcare,126.13,2026-04-08
Movie Ticket BookMyShow,Entertainment,2512.59,2026-05-13
Cafe Coffee Day,Food,4062.13,2026-03-25
Starbucks Coffee,Food,3027.87,2026-07-25
House Rent,Rent,2604.27,2026-03-12
Monthly Rent Payment,Rent,3445.49,2026-05-26
Spotify Premium,Entertainment,1576.16,2026-07-22
Dominos Pizza,Food,1307.08,2026-04-18
Nykaa Order,Shopping,1186.84,2026-06-07
Bank Transfer,Others,4558.29,2026-03-27
Flipkart Shopping,Shopping,1999.84,2026-04-15
Grocery Store BigBasket,Food,1038.33,2026-07-05
Electricity Bill,Bills,2534.71,2026-05-05
Bank Transfer,Others,3612.97,2026-08-05
Ola Cab,Transport,4929.7,2026-04-14
Electricity Bill,Bills,1468.32,2026-02-25
Netflix Subscription,Entertainment,2508.22,2026-05-12
Hospital Bill,Healthcare,3855.12,2026-04-06
Netflix Subscription,Entertainment,4592.94,2026-03-09
ATM Withdrawal,Others,532.26,2026-07-12
Bank Transfer,Others,1960.4,2026-02-20
House Rent,Rent,362.88,2026-06-06
Electricity Bill,Bills,1152.03,2026-06-24
Water Bill Payment,Bills,187.38,2026-03-04
H&M Purchase,Shopping,2165.58,2026-04-20
Metro Card Recharge,Transport,3395.64,2026-05-30
Gas Bill Payment,Bills,2191.75,2026-05-29
Apollo Pharmacy,Healthcare,1457.39,2026-03-22
Netflix Subscription,Entertainment,2670.46,2026-05-15
Monthly Rent Payment,Rent,267.85,2026-06-06
Zomato Delivery,Food,4768.33,2026-03-22
Netflix Subscription,Entertainment,1894.01,2026-02-09
Myntra Order,Shopping,3472.06,2026-07-07
House Rent,Rent,2959.79,2026-05-22
Metro Card Recharge,Transport,677.05,2026-04-20
Flipkart Shopping,Shopping,1736.58,2026-04-09
Swiggy Order,Food,4750.19,2026-08-05
Amazon Purchase,Shopping,2609.43,2026-03-04
House Rent,Rent,3425.03,2026-03-30
Miscellaneous Payment,Others,4045.06,2026-05-15
Starbucks Coffee,Food,384.25,2026-05-21
Bank Transfer,Others,3695.05,2026-04-30
Monthly Rent Payment,Rent,3747.64,2026-02-06
Internet Bill Jio,Bills,4982.54,2026-07-07
Gift Purchase,Others,1247.56,2026-07-11
Bank Transfer,Others,2934.21,2026-03-29
Grocery Store BigBasket,Food,3555.91,2026-03-29
Water Bill Payment,Bills,2726.14,2026-07-28
Myntra Order,Shopping,2384.18,2026-07-03
Starbucks Coffee,Food,4106.02,2026-05-12
Flipkart Shopping,Shopping,1112.77,2026-05-30
Pharmacy Medicine,Healthcare,3913.6,2026-07-11
Electricity Bill,Bills,2242.69,2026-03-04
Netflix Subscription,Entertainment,2203.29,2026-05-07
Amazon Purchase,Shopping,4422.51,2026-07-16
PVR Cinemas,Entertainment,2980.57,2026-07-30
Swiggy Order,Food,3412.22,2026-02-09
Starbucks Coffee,Food,873.8,2026-03-10
Swiggy Order,Food,275.9,2026-05-31
Uber Ride,Transport,1054.61,2026-06-02
Zara Store,Shopping,1810.36,2026-08-05
Ola Cab,Transport,2164.9,2026-06-06
H&M Purchase,Shopping,4431.47,2026-06-19
Internet Bill Jio,Bills,1936.77,2026-07-11
Water Bill Payment,Bills,3660.49,2026-02-11
Uber Ride,Transport,4121.17,2026-02-21
Hospital Bill,Healthcare,3488.6,2026-07-09
Nykaa Order,Shopping,3966.35,2026-05-27
Mobile Recharge Airtel,Bills,3914.59,2026-04-04
Local Restaurant,Food,4824.23,2026-03-30
Dominos Pizza,Food,2945.09,2026-02-27
ATM Withdrawal,Others,116.13,2026-06-24
